Symbol,Company,Industry,Market Cap
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,178.01B
AME,"AMETEK, Inc.",Electrical Equipment,32.79B
AMED,Amedisys,Health Care Providers & Services,5.22B
AMEH,Apollo Medical Holdings,Health Care Providers & Services,5.51B
AMG,Affiliated Managers Group,Capital Markets,7.11B
AMGN,Amgen,Biotechnology,115.26B
AMH,American Homes 4 Rent,"Equity Real Estate 
Investment Trusts...",13.58B
AMK,AssetMark Financial,Capital Markets,2.01B
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5.76B
AMN,AMN Healthcare Services,Health Care Providers & Services,5.55B
AMNB,American National Bankshares,Banks,404.85M
AMOT,Allied Motion Technologies,Electrical Equipment,587.19M
AMOV,America Movil,Wireless Telecommunication Services,56.71B
AMP,Ameriprise Financial,Capital Markets,33.66B
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,222.34M
AMPG,AmpliTech Group,Communication Equipment,35.69M
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1.02B
AMPI,Advanced Merger Partners,Blank Check / SPAC,350.75M
AMPL,Amplitude,Software-Application,7.15B
AMPY,Amplify Energy,Oil & Gas E&P,120.82M
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",906.04M
AMRC,Ameresco,Construction & Engineering,4.77B
AMRK,A-Mark Precious Metals,Diversified Financial Services,793.63M
AMRN,Amarin,Biotechnology,1.48B
AMRS,Amyris,Chemicals,2.03B
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,675.16M
AMS,American Shared Hospital Services,Health Care Providers & Services,15.30M
AMSC,American Superconductor,Electrical Equipment,379.14M
AMSF,"AMERISAFE, Inc.",Insurance,1.09B
AMST,Amesite,Software-Application,28.57M
AMSWA,American Software,Software,807.57M
AMT,American Tower,"Equity Real Estate 
Investment Trusts...",118.91B
AMTB,Amerant Bancorp,Banks,1.15B
AMTI,Applied Molecular Transport,Biotechnology,713.40M
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",602.50M
AMWD,American Woodmark,Building Products,1.11B
AMWL,Amwell,Health Information Services,1.75B
AMX,America Movil,Wireless Telecommunication Services,57.29B
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,634.73M
AMZN,Amazon,Internet & Direct Marketing Retail,"1,802.45B"
AN,AutoNation,Specialty Retail,8.32B
ANAB,AnaptysBio,Biotechnology,834.31M
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386.22M
ANAT,American National Group,Insurance,5.13B
ANDE,Andersons,Food & Staples Retailing,1.24B
ANEB,Anebulo Pharmaceuticals,Biotechnology,155.41M
ANET,Arista Networks,Communications Equipment,9.63B
ANF,Abercrombie & Fitch,Specialty Retail,2.35B
ANGI,Angi Inc.,Interactive Media & Services,4.59B
ANGN,Angion Biomedica,Biotechnology,117.43M
ANGO,AngioDynamics,Health Care Equipment & Supplies,1.08B
ANIK,Anika Therapeutics,Biotechnology,585.48M
ANIP,ANI Pharmaceuticals,Pharmaceuticals,633.27M
ANIX,Anixa Biosciences,Biotechnology,118.00M
ANNX,Annexon,Biotechnology,519.59M
ANPC,AnPac Bio-Medical Science,Biotechnology,24.70M
ANSS,"ANSYS, Inc.",Software,34.03B
ANTE,AirNet Technology,Media,37.73M
ANTM,Anthem,Health Care Providers & Services,102.06B
ANVS,Annovis Bio,Biotechnology,197.41M
ANY,Sphere 3D,Software,317.28M
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,517.97M
AOMR,Angel Oak Mortgage,REIT-Mortgage,426.18M
AON,Aon plc,Insurance,65.16B
AOS,A. O. Smith,Building Products,13.06B
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1.18B
AOUT,American Outdoor Brands,Leisure Products,337.65M
AP,Ampco-Pittsburgh,Metals & Mining,97.95M
APA,APA Corporation,"Oil, Gas & Consumable Fuels",10.75B
APAC,Stonebridge Acquisition,Blank Check / SPAC,248.38M
APAM,Artisan Partners Asset Management,Capital Markets,3.86B
APD,Air Products & Chemicals,Chemicals,67.31B
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",36.08M
APEI,American Public Education,Diversified Consumer Services,399.72M
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,327.79M
APG,APi Group,Construction & Engineering,5.55B
APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,846.11M
APH,Amphenol,"Electronic Equipment, Instruments & C...",50.46B
API,Agora,"Electronic Equipment, Instruments & C...",2.40B
APLE,Apple Hospitality REIT,"Equity Real Estate 
Investment Trusts...",3.64B
APLS,Apellis Pharmaceuticals,Biotechnology,3.76B
APLT,Applied Therapeutics,Biotechnology,276.57M
APM,Aptorum Group,Biotechnology,66.44M
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,188.30M
APO,Apollo Global Management,Capital Markets,32.36B
APOG,Apogee Enterprises,Building Products,1.20B
APP,Applovin,Software-Application,35.42B
APPF,AppFolio,Software,4.25B
APPH,AppHarvest,Farm Products,529.67M
APPN,Appian Corporation,Software,5.06B
APPS,Digital Turbine,Software,5.43B
APR,Apria,Medical Instruments & Supplies,1.07B
APRE,Aprea Therapeutics,Biotechnology,86.72M
APRN,Blue Apron,Internet & Direct Marketing Retail,280.82M
APSG,Apollo Strategic Growth Capital,Blank Check / SPAC,1.01B
APT,Alpha Pro Tech,Building Products,67.09M
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,310.89M
APTO,Aptose Biosciences,Biotechnology,214.37M
APTS,Preferred Apartment Communities,"Equity Real Estate 
Investment Trusts...",757.66M
APTV,Aptiv,Auto Components,46.69B
APTX,Aptinyx,Biotechnology,154.05M
APVO,Aptevo Therapeutics,Biotechnology,63.09M
APWC,Asia Pacific Wire & Cable,Electrical Equipment,35.38M
APYX,Apyx Medical,Health Care Equipment & Supplies,584.11M
AQB,AquaBounty Technologies,Biotechnology,186.09M
AQMS,Aqua Metals,Commercial Services & Supplies,119.76M
AQN,Algonquin Power & Utilities,Multi-Utilities,9.35B
AQST,Aquestive Therapeutics,Pharmaceuticals,240.98M
AQUA,Evoqua Water Technologies,Machinery,5.59B
AR,Antero Resources,"Oil, Gas & Consumable Fuels",5.85B
ARAV,Aravive,Biotechnology,74.04M
ARAY,Accuray,Health Care Equipment & Supplies,469.14M
ARBE,Arbe Robotics,Software-Infrastructure,565.12M
ARBG,Aequi Acquisition,Blank Check / SPAC,281.75M
ARBK,Argo Blockchain,Capital Markets,816.38M
ARC,ARC Document Solutions,Commercial Services & Supplies,126.79M
ARCB,ArcBest,Road & Rail,2.84B
ARCC,Ares Capital,Capital Markets,9.08B
ARCE,Arco Platform,Diversified Consumer Services,1.04B
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",1.26B
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1.07B
ARCT,Arcturus Therapeutics,Biotechnology,921.83M
ARDS,Aridis Pharmaceuticals,Biotechnology,31.31M
ARDX,Ardelyx,Biotechnology,104.87M
ARE,Alexandria Real Estate Equities,"Equity Real Estate 
Investment Trusts...",31.89B
AREC,American Resources,"Oil, Gas & Consumable Fuels",111.12M
ARES,Ares Management,Capital Markets,14.57B
ARGO,Argo Group International,Insurance,2.07B
ARGU,Argus Capital,Blank Check / SPAC,325.04M
ARGX,Argenx SE,Biotechnology,13.88B
ARHS,Arhaus,Home Improvement Retail,1.42B
ARI,Apollo Commercial Real Estate Finance,"Mortgage Real Estate Investment 
Trus...",1.97B
ARIS,Aris Water Solutions,Internet Software & Services (discont...,278.99M
ARKO,ARKO,Grocery Stores,1.27B
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",60.67M
ARL,American Realty Investors,Real Estate Management & Development,189.79M
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",698.42M
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1.39B
ARMK,Aramark,"Hotels, Restaurants & Leisure",9.35B
ARMP,Armata Pharmaceuticals,Biotechnology,143.02M
ARNA,Arena Pharmaceuticals,Biotechnology,3.53B
ARNC,Arconic Corporation,Aerospace & Defense,3.29B
AROC,Archrock,Energy Equipment & Services,1.26B
AROW,Arrow Financial,Banks,584.85M
ARQQ,Arqit Quantum,Software-Infrastructure,3.20B
ARQT,Arcutis Biotherapeutics,Biotechnology,856.03M
ARR,ARMOUR Residential REIT,"Mortgage Real Estate Investment 
Trus...",903.17M
ARRW,Arrowroot Acquisition,Blank Check / SPAC,351.11M
ARRY,Array Technologies,Solar,3.19B
ARTA,Artisan Acquisition,Blank Check / SPAC,434.79M
ARTL,Artelo Biosciences,Pharmaceuticals,17.88M
ARTNA,Artesian Resources,Water Utilities,431.74M
ARTW,Art's-Way Manufacturing,Machinery,16.28M
ARVL,Arrival,Auto Manufacturers,5.82B
ARVN,Arvinas,Pharmaceuticals,4.22B
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",9.02B
ARWR,Arrowhead Pharmaceuticals,Biotechnology,7.20B
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,191.96M
